label;db_id;Tweet;Original Text;Sentiment;Objetive/Subjective
0;0; FB high OI range is        to        for option expiration            PutCallRatio       maxpain  options  ;$FB high OI range is 200.00 to 205.00 for option expiration 12/06/2019 PutCallRatio=0.50 #maxpain #options https://t.co/eKROtMi5s2 https://t.co/7cJYkl65aS;0;0.5399999999999999
-1;1;Is Facebook Doubling Down on Virtual Reality   themotleyfool  stocks  FB  facebook  VR  virtualreality  investing  business ;Is Facebook Doubling Down on Virtual Reality? @themotleyfool #stocks $FB #facebook #VR #virtualreality #investing #business https://t.co/kCStlgqqeH;-1;0.2888888888888889
-1;2;markfidelman   What Zuckerberg Should Have Told Congress About Libra   did Mark Zuckerberg become the face of stablecoins  How did we get so unlucky     FB  libracoin   via Twitter  ;markfidelman : What Zuckerberg Should Have Told Congress About Libra - did Mark Zuckerberg become the face of stablecoins? How did we get so unlucky?  https://t.co/u22AAG02Ho $FB #libracoin https://t.co/eSS628hD5R (via Twitter https://t.co/cDUKwNzkg1) https://t.co/2eSSB122q5;-1;0.0
-1;3;What Zuckerberg Should Have Told Congress About Libra   did Mark Zuckerberg become the face of stablecoins  How did we get so unlucky     FB  libracoin ;What Zuckerberg Should Have Told Congress About Libra - did Mark Zuckerberg become the face of stablecoins? How did we get so unlucky?  https://t.co/jvZ5hSFpeN $FB #libracoin https://t.co/YAhCV6pL6J;-1;0.0
0;4;Facebook  Inc   FB Given Average Rating of  Buy  by Brokerages   stocks;Facebook, Inc. $FB Given Average Rating of “Buy” by Brokerages https://t.co/MDNV14mMFw #stocks;1;0.39999999999999997
0;5; FB closed within uptrend channel  lets see if market can reverse back up  another dip  could be buy for next week    FB ;"$FB closed within uptrend channel, lets see if market can reverse back up, another dip, could be buy for next week.
 #FB https://t.co/91wQ6SGKF8";1;0.03333333333333333
0;6;People really paying      a share for  FB  Vomit ;People really paying $200 a share for $FB? Vomit.;1;0.2
;7;Annie McAdams  a personal injury lawyer in Houston  is waging a legal assault against Facebook and other tech companies  accusing them of facilitating the sex trafficking of minors     FB  Section    ;"Annie McAdams, a personal-injury lawyer in Houston, is waging a legal assault against Facebook and other tech companies, accusing them of facilitating the sex trafficking of minors. 

$FB #Section230 https://t.co/EIvdFNyfll";0;0.2916666666666667
-1;8;I ll Help To Add  Billions In Shareholder Value For     k Yr    aapl  amzn  agn  brk  bhc  abbv  msft  fb  crm  cmg  pfe  googl  wfc  jpm  bac  c  cs  ms  gs  ko  pep  ibm  iep  nwl  hd  hds  wynn  shak  ge  cpe  ads  jnj  mck  tsla;"I'll Help To Add $Billions In Shareholder Value For $200k/Yr. 
$aapl $amzn $agn $brk $bhc $abbv $msft $fb $crm $cmg $pfe $googl $wfc $jpm $bac $c $cs $ms $gs $ko $pep $ibm $iep $nwl $hd $hds $wynn $shak $ge $cpe $ads $jnj $mck $tsla";1;0.0
-1;9;Facebook    FB  Covered Call   Backtesting  Long or short it on WCX   ;"Facebook | $FB

Covered Call - Backtesting

Long or short it on WCX: https://t.co/4PTz7gysXC https://t.co/nUafWn4Qhy";0;0.35
0;10; FB  Piper Jaffray Bullish On Facebook  Says Negative Headlines And Regulatory Challenges Priced In  ;"$FB  Piper Jaffray Bullish On Facebook, Says Negative Headlines And Regulatory Challenges Priced In

https://t.co/6Z4d5c8NXo";0;0.4
-1;11; FB  Initiates Coverage OnPiper JaffrayOverweight    Reiterated byCitigroupBuy    ;"$FB 
Initiates Coverage OnPiper JaffrayOverweight230
Reiterated byCitigroupBuy240
https://t.co/dtcnMmTD49";1;0.0
0;12;New swing alert was  FB   Target hit before the close from      ;New swing alert was $FB.  Target hit before the close from $197 https://t.co/Pv1bqczNVo;1;0.45454545454545453
;13;   profit on  FB in one hour with our     members        with a      target    OptionsPastor  worked like magic;"$2 profit on $FB in one hour with our 1-1 members.  $197 with a $199 target. 
@OptionsPastor
 worked like magic";1;1.0
0;14; FB finds support at    day moving average   Sentiment  Neutral  FB  Facebook;"$FB finds support at 20-day moving average: https://t.co/AGk2A9NcKu
Sentiment: Neutral #FB #Facebook";1;0.39999999999999997
;15;   profit on  FB in one hour with our     members        with      target   OptionsPastor worked like magic;$2 profit on $FB in one hour with our 1-1 members.  $197 with $199 target. @OptionsPastor worked like magic;1;1.0
0;16;My best trade that closed today   FB opened Dec   at          Closed Dec   at         for a       gain ;My best trade that closed today. $FB opened Dec 3 at $195.94. Closed Dec 3 at $197.01 for a 0.55% gain.;1;0.16666666666666666
0;17;Overnight calls plays w  PTs  Today s daily candle must close green to confirm entry   aapl        Amzn       googl            ba        nvda            fb          shop      dis      sbux     baba              roku        unh      now      msft        cmg        sq     ;"Overnight calls plays w/ PTs. Today’s daily candle must close green to confirm entry 
$aapl 261.5
$Amzn 1781
$googl 1304 1315
$ba 359.5
$nvda 211-212.5
$fb 200 202
$shop 358
$dis 151
$sbux 86
$baba 198.5 200.5
$roku 149.5
$unh 282
$now 283
$msft 150.5
$cmg 822.5
$sq 68.5";1;0.15
0;18;         PM Automated Exit  Closing my  FB position of     shares that was opened today for a       gain ;03:55:26 PM Automated Exit. Closing my $FB position of 105 shares that was opened today for a 0.95% gain.;1;0.0
0;19;         PM Manual Exit  Reduced my  FB position by    shares ;"Come On!  What happened to the easy money? 
Dodged That $BA Bullet Though! 
$aapl $amzn $agn $brk $bhc $abbv $msft $fb $crm $cmg $pfe $googl $wfc $jpm $bac $c $cs $ms $gs $ko $pep $ibm $iep $nwl $hd $hds $wynn $shak $ge $cpe $ads $jnj $mck $tsla https://t.co/rIFowxag2v";1;0.0
0;20;Come On   What happened to the easy money   Dodged That  BA Bullet Though    aapl  amzn  agn  brk  bhc  abbv  msft  fb  crm  cmg  pfe  googl  wfc  jpm  bac  c  cs  ms  gs  ko  pep  ibm  iep  nwl  hd  hds  wynn  shak  ge  cpe  ads  jnj  mck  tsla ;03:28:05 PM Manual Exit. Reduced my $FB position by 84 shares.;1;0.8333333333333334
0;21;   Trade Idea    FB Put Spread        Theo Edge        win rate    th Dec                Observations over   years      Credit  Uptrend  marketchameleon;9) Trade Idea - $FB Put Spread. 11.4% Theo Edge. 79.4% win rate. 20th Dec.  190/185.  91 Observations over 6 years. $83 Credit. Uptrend #marketchameleon;1;0.4
0;22;On a limb  FB up   next    hours;On a limb $FB up 5 next 48 hours;0;0.0
0;23;Buy  KO   aapl  amzn  agn  brk  bhc  abbv  msft  fb  crm  cmg  pfe  googl  wfc  jpm  bac  c  cs  ms  gs  ko  pep  ibm  iep  nwl  hd  hds  wynn  shak  ge  cpe  ads  jnj  mck  tsla;"Buy $KO 
$aapl $amzn $agn $brk $bhc $abbv $msft $fb $crm $cmg $pfe $googl $wfc $jpm $bac $c $cs $ms $gs $ko $pep $ibm $iep $nwl $hd $hds $wynn $shak $ge $cpe $ads $jnj $mck $tsla";0;0.0
0;24; ADS Is A Steal    aapl  amzn  agn  brk  bhc  abbv  msft  fb  crm  cmg  pfe  googl  wfc  jpm  bac  c  cs  ms  gs  ko  pep  ibm  iep  nwl  hd  hds  wynn  shak  ge  cpe  ads  jnj  mck  tsla ;"$ADS Is A Steal! 
$aapl $amzn $agn $brk $bhc $abbv $msft $fb $crm $cmg $pfe $googl $wfc $jpm $bac $c $cs $ms $gs $ko $pep $ibm $iep $nwl $hd $hds $wynn $shak $ge $cpe $ads $jnj $mck $tsla https://t.co/NyAKvkcP8d";-1;0.0
0;25; ADS Is A Steal    aapl  amzn  agn  brk  bhc  abbv  msft  fb  crm  cmg  pfe  googl  wfc  jpm  bac  c  cs  ms  gs  ko  pep  ibm  iep  nwl  hd  hds  wynn  shak  ge  cpe  ads  jnj  mck  tsla;"$ADS Is A Steal! 
$aapl $amzn $agn $brk $bhc $abbv $msft $fb $crm $cmg $pfe $googl $wfc $jpm $bac $c $cs $ms $gs $ko $pep $ibm $iep $nwl $hd $hds $wynn $shak $ge $cpe $ads $jnj $mck $tsla";-1;0.0
0;26; FB short side play   Gap down from a massive rising wedge   Forming a bullish hammer on the daily which should result in a retest of diagonal and horizontal resistances   Entry       ;"$FB short side play 

Gap down from a massive rising wedge 

Forming a bullish hammer on the daily which should result in a retest of diagonal and horizontal resistances 

Entry: $200 https://t.co/2bEH6U1aXw";1;0.39722222222222225
-1;27; FB algos are on me ;$FB algos are on me https://t.co/ySoiKovZ0l;0;0.0
0;28; FB Bullish Coverage Initiated As Facebook Stock Weathers Harsh Headlines  ;"$FB Bullish Coverage Initiated As Facebook Stock Weathers Harsh Headlines

https://t.co/5aBGFE52wd";1;0.7
0;29;         PM Manual Exit  Reduced my  FB position by     shares ;02:23:38 PM Manual Exit. Reduced my $FB position by 168 shares.;1;0.0
