,id,text,date,user,retweets,sentiment,tweet_id,relevant
2,97,#Trading opportunities based on #TechnicalScans $AAPL $ADBE $CMI $CRWD $BDX $DLTR $FANG $HOLX $SRPT $CONE $DELL $DGAX... https://t.co/XAAwzpxrWX #doji #oversold #breakouts #200dma #50dma,2019-11-26 16:33:00.000000,Briefing.com,0,0.0,1199380546222059520,0
5,100,RT @davidmoadel: Has the #Fed Guaranteed Hyperinflation? https://t.co/NsrPC7qPSA from @RoryTDC $SPY $QQQ $DJIA $DIA $GLD $SLV #stockmarket…,2019-11-26 16:31:36.000000,TheDailyCoin.org,1,0.0,1199380196853452800,0
7,102,RT @DanZanger: $AAPL - Reduced https://t.co/Nc0fDMubwC,2019-11-26 16:30:57.000000,oconnor wilson Stocks Trader,5,0.0,1199380030322860033,0
8,103,RT @DanZanger: $AAPL Trending higher https://t.co/RjvfafrXGL,2019-11-26 16:30:35.000000,oconnor wilson Stocks Trader,3,0.25,1199379939205758976,0
12,107,"$TSLA - Bulls are cancelling orders and then accusing Bears of cancelling orders to prove fakery. This is such a sad person right here.  Such Elon delusion.  

Was it the bears who broke the Cybertruck’s unbreakable glass on stage? https://t.co/GHYVkCGaeq",2019-11-26 16:33:46.000000,Blue Collar Trade,0,-0.053571428571428575,1199380741920108545,0
14,109,"RT @realmoney: Tesla's $TSLA charts have formed a bear flag, a pattern that projects further downside in its stock. @edponsi breaks down wh…",2019-11-26 16:33:07.000000,"Trade Alerts, Trade Ideas and Crypto 📈",3,-0.07777777777777779,1199380576739835904,0
16,111,I'm most excited about #tesla's battery investor day. The latest #cybertruck unveil gave us a 500+ mile truck at $70k. The current Model S is 370 miles at $80k. So i'm guessing they got a new battery under that truck.  $tsla,2019-11-26 16:32:29.000000,Kris Liu,0,0.30227272727272725,1199380416974581760,0
17,112,"$TSLA $TSLAQ $F

Elon, you gonna take shit from Neil DeGrasse Tyson?

@neiltyson @elonmusk https://t.co/1h4KU90DR9",2019-11-26 16:32:29.000000,passthebeano,0,-0.2,1199380415963754496,0
18,113,"RT @SpartanTrading: $SPY bullish consolidation here for the next leg higher still holding up well.

$AMZN Next leg coming.

Keeping an eye…",2019-11-26 17:43:59.000000,Joe Gambiste,1,0.08333333333333333,1199398412338302976,0
22,117,RT @tradertvneal: @ItsAirplaneJane Great look on that $AAPL call. It was an absolute pleasure having you on the program today. Best of luck…,2019-11-26 17:43:58.000000,Joe Gambiste,1,0.6666666666666666,1199398408303390720,0
23,118,"RT @treabase: $AAPL #patent 10,488,992 Multi-chip touch architecture for scalability #tech #IP #research https://t.co/YjLrn71rFs https://t.…",2019-11-26 17:43:58.000000,Joe Gambiste,1,0.0,1199398407334498316,0
25,120,RT @DanZanger: $AAPL - Reduce before earnings https://t.co/dAg5BYXwF8,2019-11-26 17:43:57.000000,Joe Gambiste,12,0.0,1199398403958038529,0
26,121,RT @DanZanger: $AAPL Closed out with the market plunging https://t.co/QsUQZsqysL,2019-11-26 17:43:57.000000,Joe Gambiste,5,-0.1,1199398402997530629,0
27,122,RT @DanZanger: $AAPL - Earnings continue to decelerate https://t.co/6G1eCL0nSU,2019-11-26 17:43:57.000000,Joe Gambiste,6,0.0,1199398401961529345,0
28,123,RT @DanZanger: $AAPL closed out  a few weeks ago and waiting for the next signal. https://t.co/nsRzmxyiYc,2019-11-26 17:43:57.000000,Joe Gambiste,6,-0.10000000000000002,1199398401030459393,0
29,124,RT @DanZanger: $AAPL - Closed out but still good for the active trader https://t.co/0C9fjkRlOT,2019-11-26 17:43:56.000000,Joe Gambiste,7,0.15555555555555556,1199398400078286849,0
31,126,RT @DanZanger: $AAPL - Working higher from my buy area and let's reduce before earnings. https://t.co/a1066TqcPV,2019-11-26 17:43:56.000000,Joe Gambiste,11,0.25,1199398397960237057,0
32,127,RT @DanZanger: $AAPL Super gains and a solid earnings report https://t.co/y5vluGWveo,2019-11-26 17:43:56.000000,Joe Gambiste,4,0.16666666666666666,1199398396961939458,0
33,128,RT @DanZanger: $AAPL - Leading the entire market higher https://t.co/yL8bllNLr4,2019-11-26 17:43:55.000000,Joe Gambiste,9,0.125,1199398395900833793,0
34,129,RT @DanZanger: $AAPL - Leading the market. https://t.co/XF9QpuplDM,2019-11-26 17:43:55.000000,Joe Gambiste,6,0.0,1199398394957123584,0
